,영화제목,개봉년도,제작년도,영화코드
638,퀼스,2001,2000,31386
639,크레이지 뷰티풀,2001,2001,32593
640,크림슨 리버,2001,2000,30980
641,클럽 버터플라이,2001,2001,31363
642,키드,2001,2000,30303
643,키스 오브 드래곤,2001,2001,31708
644,킬러들의 수다,2001,2001,31606
645,타인의 취향,2001,1999,29219
646,타임리스 멜로디,2001,1999,27307
647,탑 블레이드,2001,2001,34034
648,테일러 오브 파나마,2001,2001,31781
649,토틀 웨스턴,2001,2000,30421
650,톰캣,2001,2001,32038
651,투발루,2001,1999,30094
652,툼 레이더,2001,2001,31272
653,트래픽,2001,2000,31345
654,트레이닝 데이,2001,2001,32240
655,트위스트 오브 페이스,2001,1999,31972
656,티미의 못말리는 수호천사 시즌1,2001,2001,136667
657,파라다이스 빌라,2001,2000,30687
658,파이널환타지,2001,2001,32223
659,파이란,2001,2001,31475
660,파이터 블루,2001,2000,31312
661,파인딩 포레스터,2001,2000,31524
662,패스워드,2001,2001,12577
663,팬시 댄스,2001,1989,26347
664,포스 엔젤,2001,2001,32935
665,포인트 맨,2001,2001,33528
666,폴락,2001,2000,31436
667,푸른 안개,2001,2001,41343
668,프라이스 오브 글로리,2001,2000,29325
669,프라핏 게임,2001,1999,32249
670,프루프 오브 라이프,2001,2000,30320
671,프린세스 다이어리,2001,2001,33004
672,프린스 앤 프린세스,2001,1999,31170
673,피아노,2001,2001,38126
674,하나코,2001,1998,25644
675,하루,2001,2000,31117
676,하트브레이커스,2001,2001,32026
677,학교 시즌4,2001,2001,41354
678,한니발,2001,2001,29848
679,해리 포터와 마법사의 돌,2001,2001,30688
680,행복한 가족 계획,2001,1999,32084
681,헤라 퍼플,2001,2001,32884
682,호텔리어,2001,2001,39761
683,혹성 탈출,2001,2001,31269
684,화려한 시절,2001,2001,38781
685,화산고,2001,2001,30791
686,황혼에서 새벽까지 3,2001,1999,31277
687,후르츠 바스켓,2001,2001,36560
688,훈의초 : 라벤더,2001,2000,31718
689,휴머니스트,2001,2001,31074
690,흑수선,2001,2001,31800
691,히든 어젠더,2001,2001,32878
692,히로시마 내 사랑,2001,1959,16801
693,007 어나더 데이,2002,2002,34160
694,13 고스트,2002,2001,33756
695,2009 로스트 메모리즈,2002,2001,31476
696,2424,2002,2002,34312
697,40 데이즈 40 나이트,2002,2002,34436
698,4발가락,2002,2002,34248
699,51번째 주,2002,2001,31404
700,ABC 아프리카,2002,2001,33645
701,CSI - 마이애미,2002,2002,41398
702,H,2002,2002,33842
703,K-19 위도우메이커,2002,2001,31906
704,YMCA 야구단,2002,2002,34217
705,가문의 영광,2002,2002,35172
706,가화만사성,2002,2002,35286
707,거침없는 사랑,2002,2002,40197
708,건블라스트 보드카,2002,2000,30096
709,걸스 온 탑,2002,2001,34095
710,걸파이트,2002,2000,29012
711,겨울 연가,2002,2002,39492
712,결혼은 미친 짓이다,2002,2001,31893
713,결혼합시다,2002,2002,50436
714,고스트 쉽,2002,2002,34818
715,고스포드 파크,2002,2001,34185
716,고쿠센,2002,2002,38065
717,공각기동대,2002,1995,23917
718,공각기동대 S.A.C. 1,2002,2002,36757
719,공공의 적,2002,2002,32610
720,광복절 특사,2002,2002,35099
721,굳세어라 금순아,2002,2002,35065
722,그 남자가 나를 안았다,2002,2000,36124
723,그 남자는 거기 없었다,2002,2001,33156
724,그 여자 사람잡네,2002,2002,42817
725,그대를 알고부터,2002,2002,42807
726,그들만의 월드컵,2002,2001,34802
727,그리스도 최후의 유혹,2002,1988,10394
728,글래스 하우스,2002,2001,33332
